"";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15"
"aIndex";-0,151539174737764;0,426512664914527;-0,0248103141996073;-0,266540191131795;0,141677709389516;-0,198583250405902;0,127119452154021;-0,322856894221377;0,315047949636149;-0,290830159828795;0,44013397167229;0,17276824556212;-0,304686010108132;0,208051655106621;0,00604665092153221
"Boman";0,341098427380541;-0,2779341272797;-0,0141086884338855;-0,0470655912162033;0,103496287515157;-0,0462363644312135;-0,256864901077729;0,100304582209437;0,404620924965523;-0,115952181990496;0,10764095969578;-0,512025365107589;-0,361820710496349;-0,162467234518359;0,326911315559118
"Charge";0,305637957565771;0,258946733592952;0,189929641808871;0,181730526900328;0,0654963097402611;-0,0362913791825335;0,232544060007163;0,480986654647521;-0,199836467639573;-0,658636217592725;-0,0513274406452301;0,0280329697957611;0,0104157257714314;-0,0454547155629842;0,00835399501598308
"PP1";0,310864375149933;-0,295522216939965;-0,130427898934681;-0,240706307459486;-0,0741008355642136;-0,0321057774767229;-0,0794619981403277;0,16982537503337;0,232763922170214;-0,0171672489263983;0,152881459523311;0,642415002486695;-0,000686751227322868;-0,387069239098236;-0,242972864503016
"PP2";0,315172488318949;0,194262146894225;-0,396804016719444;0,141284344258983;-0,0759531803240966;-0,0693316134513027;0,0347997644650403;0,000228034121501922;0,0857179017903973;0,113932778790208;-0,247083928808691;-0,190743827163749;-0,31169422439891;0,202523582044107;-0,646371402823169
"PP3";0,247101418416154;0,19686929019666;0,425286706138262;0,233279246144003;0,0987127800765436;0,306493209903107;-0,254122884854835;-0,234810911136688;0,0590836668870092;0,125377532165981;-0,336440050720405;0,378009098637556;-0,363780107475883;0,0883724538853226;0,161429948846413
"F1";-0,174121791931534;0,346262872660663;-0,11448891360333;0,105976192353443;-0,42485860186737;0,243963142036446;-0,522982503741734;0,287806256114492;0,358963717774505;-0,0968576034308873;0,0779352956428158;0,00638320244826278;0,266941483495032;0,115149020048908;0,0145230625516022
"F2";0,117071353056368;0,29231991091417;-0,0827454428475384;-0,580798321827706;0,00134594409555097;-0,157044481080218;-0,457852757505013;0,0401694559380685;-0,52416348535204;0,0336957041222522;-0,105991153682602;-0,0605096005475818;-0,105706812635255;-0,118190364589275;0,0695784944423164
"F3";0,240967019756936;0,221751593085928;-0,506598827635136;-1,39465387118268e-05;-0,0726274922684583;-0,128091997255579;0,303911565908229;0,0574226546538474;0,114342809274398;0,197543912832971;-0,241021241565749;0,186873860524233;0,103052963059372;0,0823651435582655;0,596876835043177
"F4";-0,219357874265515;0,308247311312816;0,23420733002584;-0,26985511457066;0,338967924588276;-0,0373346435387089;0,171610960593615;0,239247472351343;0,407736382609197;0,208481552402129;-0,379895672211961;-0,125902019544185;0,117062561991844;-0,351885837099463;-0,13709564537556
"F5";-0,167879154552039;-0,0356931384575839;-0,193617339486756;0,421849816030095;0,503452147997583;-0,520645020901612;-0,421448000320283;0,0151171209924796;0,00443180180285358;-0,0758154961179843;-0,0781503240138523;0,167584514759353;0,112188031274294;-0,012867865119583;0,00199777424337883
"F6";0,375440049891728;0,179726460349402;0,00377351059703575;0,067066083573701;-0,00834642070385296;0,0259676322937792;-0,0450520250518978;-0,607961435220298;0,0655545821492149;-0,193408143948672;-0,0177979310644716;-0,169113347365189;0,51436730060182;-0,330140717490163;-0,0751896258172179
"Hidrophobicity";0,32870382609174;-0,177134432387098;0,207672532204074;-0,315353140112557;0,248871222173915;-0,0515914551003596;-0,0733933168610986;0,0945363142951046;0,145777222901961;0,0441523207607202;-0,0296295450476466;0,0129263847197593;0,397456237938043;0,672955895294119;-0,0631895657871758
"pI";0,282774344700717;0,308972855529507;0,14904178682035;0,234733928597844;0,148615873594723;-0,0230724303168755;0,0281353610311777;0,213707174626607;-0,12119100925361;0,537670679715794;0,597006922626215;-0,0623490839943511;0,0651171237930726;-0,097978543347122;-0,0160584514550376
"MW";0,0537629378917424;-0,00140083442083264;0,416515622548749;0,0548907921240744;-0,552887154226185;-0,693117663673179;0,0300327549937473;-0,0306779218047401;0,0943066886675221;0,109441703889511;-0,104911761152499;-0,00323742133858655;-0,0229603129532926;0,0118685303614322;0,0106622903524056
